epoch,accuracy,loss,val_accuracy,val_loss
0,0.6945927739143372,0.924796998500824,0.7225000262260437,0.9049328565597534
1,0.8492990732192993,0.6622453331947327,0.7233333587646484,0.9399922490119934
2,0.9070427417755127,0.5649543404579163,0.7574999928474426,0.9024930596351624
3,0.9324098825454712,0.5166696310043335,0.7400000095367432,0.9591015577316284
4,0.9557743668556213,0.48041969537734985,0.7616666555404663,0.865044355392456
5,0.965954601764679,0.4591398239135742,0.7433333396911621,0.884726345539093
6,0.973798394203186,0.440233051776886,0.7733333110809326,0.8421758413314819
7,0.979973316192627,0.4250810444355011,0.76583331823349,0.874068021774292
8,0.984646201133728,0.4164183437824249,0.73416668176651,0.9400081634521484
9,0.987817108631134,0.40813329815864563,0.7716666460037231,0.8414884805679321
