epoch,stage,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_sec
1,A,1.0317951459910109,0.6118157543391188,0.9794808085759481,0.6608333333333334,0.6546391416727623,0.000905463412215599,145.85
2,A,0.9125783542128845,0.6862483311081442,0.9122499553362529,0.7025,0.7002072667973135,0.000657963412215599,141.77
3,A,0.8780516203000485,0.7171228304405874,0.895281769434611,0.7158333333333333,0.7123935837679375,0.0003520365877844011,141.13
4,A,0.8565036430855459,0.7364819759679573,0.8829415488243103,0.7225,0.7169711500761002,0.00010453658778440106,137.78
5,A,0.83481888427276,0.7510013351134847,0.8752956199645996,0.7308333333333333,0.7261890067900696,1e-05,140.54
6,B,0.8150025170062667,0.7643524699599465,0.9069712487856547,0.7341666666666666,0.7272043053519511,2.5132978723404255e-05,137.64
7,B,0.7568952406200771,0.7878838451268357,0.7247093423207601,0.8116666666666666,0.8125725860670557,5e-05,139.33
8,B,0.697948483862132,0.8239319092122831,0.7889582467079163,0.795,0.7929243571282718,4.928080998129479e-05,136.56
9,B,0.651922370308391,0.8484646194926568,0.753125749429067,0.7925,0.7876888795469529,4.716503663491694e-05,135.16
10,B,0.6057849249470536,0.8724966622162884,0.8407134334246318,0.77,0.7731540673366888,4.3775641017234756e-05,134.36
11,B,0.5856430072969047,0.8756675567423231,0.6977415498097738,0.8316666666666667,0.8331194285805515,3.9309602481596106e-05,136.78
12,B,0.5407694259854916,0.9025367156208278,0.727245573202769,0.8275,0.8283645136816462,3.402647095430276e-05,135.52
13,B,0.511101077411458,0.9213951935914553,0.7368911306063334,0.8275,0.8285524951811436,2.8233282836319248e-05,136.19
14,B,0.474648093031309,0.9382510013351135,0.7375792368253072,0.8458333333333333,0.8469566945845309,2.226671716368076e-05,134.94
15,B,0.45479274213871107,0.9495994659546061,0.7418281133969625,0.83,0.8298627122759336,1.647352904569724e-05,134.93
16,B,0.42318460078678716,0.9642857142857143,0.7314490024248759,0.84,0.8408523336621597,1.1190397518403897e-05,135.98
17,B,0.4086032458077445,0.970460614152203,0.7720976281166076,0.8341666666666666,0.8351207451074782,6.724358982765246e-06,138.66
18,B,0.3945215969521786,0.9796395193591455,0.7434449958801269,0.8383333333333334,0.8388556919713221,3.3349633650830573e-06,136.88
19,B,0.3896164227630172,0.9826435246995995,0.7559239053726197,0.8325,0.8330217733059482,1.2191900187052126e-06,138.4
