epoch,accuracy,loss,val_accuracy,val_loss
0,0.5709279179573059,1.2381548881530762,0.70333331823349,1.083430528640747
1,0.7384846210479736,1.0093472003936768,0.7083333134651184,1.141021728515625
2,0.8027369976043701,0.9119422435760498,0.6708333492279053,1.215880274772644
3,0.8412883877754211,0.8639541864395142,0.73416668176651,1.0677493810653687
4,0.8568090796470642,0.8311905264854431,0.7166666388511658,1.0483765602111816
5,0.8821762204170227,0.799842357635498,0.7524999976158142,0.9993794560432434
6,0.8988651633262634,0.776370108127594,0.746666669845581,1.0263934135437012
7,0.9083778262138367,0.7573990821838379,0.7616666555404663,0.994113028049469
8,0.9242323040962219,0.7416870594024658,0.7283333539962769,1.0692739486694336
9,0.9339118599891663,0.7273766398429871,0.746666669845581,1.0449382066726685
10,0.9444258809089661,0.7146704196929932,0.7508333325386047,1.0192557573318481
11,0.9516021609306335,0.7022560834884644,0.7350000143051147,1.0532770156860352
12,0.9572763442993164,0.6929008960723877,0.7383333444595337,1.0614904165267944
13,0.9624499082565308,0.686759352684021,0.7383333444595337,1.0348212718963623
