epoch,accuracy,loss,val_accuracy,val_loss
0,0.5632510185241699,1.1073640584945679,0.675000011920929,0.9246854782104492
1,0.7421562075614929,0.8250971436500549,0.7300000190734863,0.8150389194488525
2,0.8009011745452881,0.734798014163971,0.7433333396911621,0.8108184933662415
3,0.8257676959037781,0.6941477656364441,0.7808333039283752,0.7659542560577393
4,0.8462950587272644,0.6528789401054382,0.7758333086967468,0.759992241859436
5,0.8701602220535278,0.6197594404220581,0.7808333039283752,0.7658544182777405
6,0.8780040144920349,0.5964937210083008,0.7933333516120911,0.7526320815086365
7,0.8978638052940369,0.5696032643318176,0.7916666865348816,0.7627978324890137
8,0.9013684988021851,0.5570690631866455,0.7908333539962769,0.7751514911651611
9,0.915220320224762,0.5383197665214539,0.7925000190734863,0.778832197189331
10,0.9223965406417847,0.5245165228843689,0.7950000166893005,0.7803280353546143
11,0.9300734400749207,0.5122749209403992,0.7950000166893005,0.7788134217262268
12,0.936582088470459,0.5008751749992371,0.7958333492279053,0.7780479788780212
13,0.9335781335830688,0.4976612627506256,0.7941666841506958,0.7826740741729736
14,0.9367489814758301,0.4970017373561859,0.7950000166893005,0.7809275984764099
15,0.9430907964706421,0.48887085914611816,0.7908333539962769,0.7821320295333862
16,0.9435914754867554,0.48439207673072815,0.7941666841506958,0.7824174165725708
17,0.9422563314437866,0.4883389472961426,0.7925000190734863,0.7837612628936768
