epoch,accuracy,loss,val_accuracy,val_loss
0,0.28652435541152954,1.7255885601043701,0.3558333218097687,1.4329252243041992
1,0.3355570435523987,1.5036358833312988,0.36500000953674316,1.407396674156189
2,0.3844229578971863,1.397121548652649,0.3766666650772095,1.3415946960449219
3,0.40527018904685974,1.3422898054122925,0.35333332419395447,1.34616219997406
4,0.43428951501846313,1.27091383934021,0.3641666769981384,1.3420274257659912
5,0.44846564531326294,1.2391009330749512,0.3866666555404663,1.335636019706726
6,0.46297532320022583,1.2122279405593872,0.38749998807907104,1.3297547101974487
7,0.4708138704299927,1.200121521949768,0.35333332419395447,1.3656400442123413
8,0.47114741802215576,1.197514295578003,0.40416666865348816,1.3132269382476807
9,0.48682454228401184,1.1762105226516724,0.39500001072883606,1.3372836112976074
